Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
Findings & Issues,Data conflict detection,A/R,,,,,C,,,Live,SE/ME,,
Findings & Issues,Finance gap detection,A/R,,,,,C,,,Live,SE/ME,,
Findings & Issues,Identity gap detection,A/R,,,,,C,,,Live,SE/ME,,
Governance,Auth Policy Enforcement,,A/R,,,,I,,,Live,SE/ME,Plane-level auth validation,
Governance,PII Redaction (Edge),,A/R,,,,I,,,Live,SE/ME,Redacts before data enters DCL,
Governance,Rate Limit Enforcement,,A/R,,,,I,,,Live,SE/ME,Plane-level rate limiting,
Identity & Trust,Agent identity issuance,I,C,I,,,I,,,Cancelled,SE/ME,Separate from service identity,
Identity & Trust,Trust tier enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Native vs customer vs third-party,
Ingest Pipeline,Drift Detection,,,A/R,,I,C,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline (Structure/Dispatch/Content). Triple store integrity is now handled via AAM Layer 1 data drift and DCL per-triple validation gates.,
Ingest Pipeline,Record Buffering,,,A/R,,I,I,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline. Triples are written in atomic batches via execute_values — no record buffering needed.,
Ingest Pipeline,Self-Healing Repair,,,A/R,,I,C,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline. Triple write failures are handled by the triple write ledger (AAM) and atomic batch rollback (PG).,
Ingest Pipeline,Stream Consumption (Sidecar),,,A/R,,I,C,,,Aspirational,SE/ME,Aspirational — no code implementation,
Ingest Pipeline,Verification with Farm,,,C,,I,A/R,,,Live,SE/ME,,
Ingestion,Fabric Pointer Buffering (Zero-Trust),,,A/R,,I,I,,,Deprecated,SE/ME,Part of old DCL pipe ingest path (Structure/Dispatch/Content). Farm/AOD/AAM bypass entirely via execute_values to PG.,
Ingestion,Ingest Rejection Feedback,,I,A/R,,I,R,,,Deprecated,SE/ME,Old pipe-ingest rejection path (Structure/Dispatch/Content) is deprecated. SE: Farm pushes financial triples to DCL HTTP ingest via orchestrator (active path). ME: Farm pushes to Convergence backend (DCL not involved).,
Ingestion,Just-in-Time Payload Fetching,,C,A/R,,I,,,,Deprecated,SE/ME,Part of old pipe ingest model. Triples carry values directly — no deferred fetch.,
Ingestion,Schema Drift Detection,,C,A/R,,I,C,,,Deprecated,SE/ME,Old pipe-ingest schema drift detection. Field-level drift on incoming records via pipe schemas. Replaced by AAM Layer 1 data drift (concept+property delta on triple store). See Drift Detection category for AAM-owned drift.,
Ingestion,Schema-on-Write Validation (Ingest Guard),,,A/R,,I,I,,,Deprecated,SE/ME,"Old pipe-schema validation (HTTP 422 NO_MATCHING_PIPE). Replaced by per-triple validation gates on entity_id, concept, confidence_score, etc. See Triple Store → Triple ingest endpoint.",
Inter-Service Contracts,AAM → DCL Pipe Export Contract,,A/R,R,,,,,,Deprecated,SE/ME,Old pipe export contract. AAM now writes mapping.* triples directly to PG. Contract not exercised. Removal is cleanup debt.,
Inter-Service Contracts,AAM → Farm Dispatch Contract,,A/R,,,,R,,,Dormant,SE/ME,"Manifest format, auth_token_ref requirement, timeout policy. Dormant in SYNTHETIC mode — dispatch not exercised. Code retained. Superseded by transport shims in PRODUCTION_SE.",
Inter-Service Contracts,AOD → AAM Handoff Protocol,A/R,R,,,,,,,Live,SE/ME,Underspecified — handoff.py is large module; contract doc needed,
Inter-Service Contracts,DCL → NLQ Query Contract,,,A/R,,R,,,,Live,SE/ME,"Semantic catalog export, query endpoint, confidence propagation",
Inter-Service Contracts,Farm → DCL Ingest Contract (SE),,,A/R,,,R,,,Live,SE,"SE: Orchestrator calls Farm manifest-intake, then pushes financial triples to DCL via POST /api/dcl/ingest-triples. Proven E2E (23K+ triples accepted). ME: Farm pushes to Convergence backend — this contract does not apply to ME.",
Lifecycle,Agent onboarding & versioning,I,I,I,,,I,,,Cancelled,SE/ME,Promotion & rollback,
Lifecycle,Zombie agent detection,C,C,C,,,I,,,Cancelled,SE/ME,Sprawl control,
Mai,Constitution loading (Layers 0-4 + Orchestrator),,,,,,,A/R,C,Live,SE/ME,"Static Markdown files loaded every invocation. Governs voice, boundaries, reasoning rules","v8.5→v8.6: Mai constitution narrowed to concierge scope (identity, scenario variant, observability grammar). Accounting axioms and entity policies removed from Mai constitution."
Mai,Context assembly (prompt construction),,,C,,,,A/R,C,Live,SE/ME,Assembles: base constitution + module doc + retrieved triples + engagement state + user message,
Mai,Domain keyword extraction,,,,,,,A/R,C,Live,SE/ME,Maps user-language terms to concept domain prefixes via domain_keywords.yaml. 19 domains,
Mai,Entity detection (runtime DB query),,,C,,,,A/R,C,Live,SE/ME,Queries DB for entity_ids at runtime. No hardcoded entity names,
Mai,Module knowledge doc loading (conditional),,,,,,,A/R,C,Live,SE/ME,"One module doc per request based on module_context. 6 docs: aod, aam, farm, dcl, nlq, convergence",
Mai,RACI boundary enforcement (module-scoped actions),,,,,,,A/R,C,Live,SE/ME,Actions scoped to current module. Knowledge unrestricted. Injected by assembler per §3.1,
Mai,"Scenario variant loading (SE, ME, M&A, Portfolio)",,,,,,,A/R,C,On Docket,SE/ME,Separate constitution variants per scenario type sharing common base. SE only for demo,
Mai,Streaming response (SSE via AI Gateway),,,,,,,A/R,C,Live,SE/ME,POST /api/mai/chat. Reuses existing Claude API integration. Temperature 0.3,
Mai,Triple retrieval via SQL (domain + entity filtering),,,R,,,,A/R,C,Live,SE/ME,Direct SQL to DCL triple store. Postgres-native filtering. NLQ bypassed for demo,
Mai,Zero-result safeguard,,,,,,,A/R,C,Live,SE/ME,"When SQL returns zero triples for a matched domain, injects explicit no-data signal. Prevents hallucination. §10.1",
Mai COFA,COFA mapping write-back to DCL,,,C,A/R,,,C,A/R,On Docket,ME,"Write mapping, conflict register, unified structure as triples. DCL validates via COFACompletionGate",v8.5→v8.6: Operational execution moved to Convergence workflow. Platform retains C for Mai concierge observability.
Mai COFA,COFA unification (two-CoA mapping),,,,A/R,,,C,A/R,Live,ME,"Reads two CoAs, builds unified mapping with confidence. Understands economic substance. Stage 5 STRONG PASS",v8.5→v8.6: Operational execution moved to Convergence workflow. Platform retains C for Mai concierge observability.
Mai COFA,COFACompletionGate (orphan account validation),,,C,A/R,,,R,C,Live,ME,DCL validates every source account appears in mapping. Rejects orphans. Self-correcting loop,
Mai COFA,Conflict detection and typing,,,,A/R,,,R,A/R,Live,ME,"Types: recognition timing, measurement basis, classification, scope. Ranked by dollar impact",
Mai COFA,Materiality ranking (dollar impact sorting),,,,A/R,,,R,A/R,Live,ME,Sorts conflicts by estimated annual dollar impact descending. Top 10 typically 90% of total,
Mai Engagement,CSAT instrumentation (incentive metric),,,,A/R,,,C,C,On Docket,SE/ME,Requires engagement persistence + feedback mechanism,
Mai Engagement,Engagement state persistence (per-customer),,,,A/R,,,C,C,Live,SE/ME,Canonical engagements table in Convergence. Platform + Console read/write via HTTP. No local tables.,
Mai Engagement,Run ledger (per-step audit trail),,,,A/R,,,C,C,Live,SE/ME,"engagement_id, step_name, idempotency_key, inputs_hash, outputs_ref. Convergence run_ledger table.",
Mai Human Review,Batch approve (human-initiated),,,C,A/R,,,C,C,On Docket,ME,"CFO selects conflicts below self-determined threshold, applies bulk resolution. Audit trail",
Mai Human Review,Four-tier confidence classification,,,,A/R,,,C,C,On Docket,SE/ME,Compound confidence broken into components. Below medium: surface with explanation,
Mai Human Review,Resolution audit trail,,,C,A/R,,,C,C,On Docket,ME,"conflict_id, decision, decided_by, reasoning, timestamp, materiality. Goes into Diligence Package",
Mai Human Review,Structured recommendation with evidence,,,,A/R,,,C,C,On Docket,SE/ME,For high-impact decisions. Mai prepares; human confirms. §3.7,
Mai UI,Chat widget (MaiChat component),,,,,,,A/R,C,Live,SE/ME,"React component. Streaming, Markdown rendering, preset suggestions. 65/35 split layout",
Mai UI,Global chat store (above router),,,,,,,A/R,C,Live,SE/ME,MaiChatProvider wraps entire app. Chat history persists across module navigation,
Mai UI,Module context switching,,,,,,,A/R,C,Live,SE/ME,"Same widget in NLQ, AAM, DCL, AOD, Farm. Module doc and presets swap; history persists",
Mai UI,Module-aware preset suggestions (config-driven),,,,,,,A/R,C,Live,SE/ME,Presets stored in presets.ts. Per-module config. Adding presets requires no component changes,
Mai UI,Onboarding walkthrough (guided first-time),,,C,,,,A/R,C,Live,SE/ME,dcl-onboarding-agent. Separate demo scene. Can integrate as Mai workflow mode,
Observability,Cost tracking,,,,,,I,,,Cancelled,SE/ME,,
Observability,Deterministic replay,I,I,C,,,C,,,Cancelled,SE/ME,Debug & audit,
Observability,Execution trace & audit,I,I,C,,,C,,,Cancelled,SE/ME,"Who did what, when",
Observability,Performance metrics,,,,,,C,,,Cancelled,SE/ME,,
Observability,Vitals aggregation,,,,,,C,,,Cancelled,SE/ME,,
Operator UI,AAM Controls Dashboard (composite page),,A/R,,,,,,,On Docket,SE/ME,"Single-page operator view served by AAM. Contains: mode indicator, triple write ledger, triple health, data drift, pipe inventory, connection health placeholder. Per AAM Controls Redesign v3.",
Operator UI,Display Candidates,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Drift Events,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Operating Mode,,A/R,,,,I,,,On Docket,SE/ME,"Shows current AAM operating mode: SYNTHETIC, PRODUCTION_SE, PRODUCTION_ME. Indicates which controls are dormant/superseded and why.",
Operator UI,Display Pipe Inventory,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Triple Health,,A/R,,,,I,,,On Docket,SE/ME,"Shows AAM triple count, concept coverage (mapping.* domains present/missing), freshness (color-coded staleness), run-over-run delta.",
Operator UI,Display Triple Write Ledger,,A/R,,,,I,,,On Docket,SE/ME,"Shows recent triple writes by AAM: run_id, trigger, write_path, concept_prefixes, triple_count, status, duration. Color-coded status. Error detail expandable.",
Pipe Inference,Create DeclaredPipe,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,DeclaredPipe Creation,,A/R,I,,,I,,,Live,SE/ME,Writes mapping.pipe.* triples to PG via execute_values. Old DCL Pipe Export (POST /api/export) is deprecated.,
Pipe Inference,Fabric Plane Inference,,A/R,,,,I,,,Live,SE/ME,WHERE pipes live,
Pipe Inference,Infer Change Semantics,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Entity Scope,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Fabric Plane,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Identity Keys,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Modality,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Transport Kind,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Modality Inference,,A/R,,,,I,,,Live,SE/ME,HOW pipes are accessed,
Pipe Inference,Transport Kind Inference,,A/R,,,,I,,,Live,SE/ME,"API, EVENT_STREAM, TABLE, FILE",
Pipe Registry,Compute Schema Hash,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Serve Pipe Queries,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Store Declared Pipes,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Version Pipe Changes,,A/R,,,,I,,,Live,SE/ME,,
Pipeline Execution,Graph Building,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Narration Broadcasting,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Persona Filtering,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Run Metrics Collection,,,A/R,,I,I,,,Live,SE/ME,,
Policy & Governance,Agent-level policy evaluation,I,C,C,,,I,,,Cancelled,SE/ME,"Autonomy, scope, cost",
Policy & Governance,Autonomy bounds enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Guardrails,
Policy & Governance,HITL escalation,I,I,C,,,I,,,Cancelled,SE/ME,Confidence-based approval,
Query Cache,Cache Learning (AI Mode),,,,,A/R,I,,,Live,SE/ME,Stores successful parses,
Query Cache,LLM Call Tracking,,,,,A/R,I,,,Live,SE/ME,Per-session counts with Supabase,
Query Cache,Query Cache Lookup,,,,,A/R,I,,,Live,SE/ME,EXACT/HIGH/MEDIUM thresholds,
Query Cache,Query Learning Log,,,,,A/R,I,,,Live,SE/ME,Logs all queries with success/failure,
Query Cache,Semantic Query Cache (Pinecone),,,,,A/R,I,,,Live,SE/ME,Vector similarity for query matching,
Query Cache,Static/AI Mode Routing,,,,,A/R,I,,,Live,SE/ME,Mode toggle for speed vs learning,
Query Engine,Answer Assembly & Formatting,,,,,A/R,I,,,Live,SE/ME,Structures response for consumers,
Query Engine,Confidence Scoring,,,,,A/R,C,,,Live,SE/ME,"Bounded [0,1] with weighted factors",
Query Engine,Grounding & Citation,,,,,A/R,I,,,Live,SE/ME,Attaches evidence to answers,
Query Engine,"Intent Classification (POINT, COMPARISON, TREND, AGGREGATION, BREAKDOWN)",,,,,A/R,I,,,Live,SE/ME,5 intent types from natural language,
Query Engine,LLM-Based Query Parsing,,,,,A/R,I,,,Live,SE/ME,Claude API extracts structured JSON,
Query Engine,Metric/Dimension Extraction,,,,,A/R,I,,,Live,SE/ME,LLM extracts + synonym normalization,
Query Engine,Pattern-Based Pre-parsing,,,,,A/R,I,,,Live,SE/ME,Regex before LLM for dashboards/viz,
Query Engine,"Query Execution (Aggregation, Filtering)",,,R,,A,I,,,Live,SE/ME,"NLQ orchestrates, DCL provides data",
Query Engine,Query Planning & Decomposition,,,,,A/R,I,,,Live,SE/ME,Breaks complex questions into steps,
Query Engine,"Temporal Resolution (last year, Q3, etc.)",,,,,A/R,I,,,Live,SE/ME,Interprets time references,
Reconciliation,Pipeline execution,C,,,,,A/R,,,Live,SE/ME,,
Response Generation,Ambiguity Detection,,,,,A/R,I,,,Live,SE/ME,"Pattern-based, returns prompts",
Response Generation,Graceful Fallbacks,,,,,A/R,I,,,Live,SE/ME,Never show raw errors,
Response Generation,Off-Topic Handling,,,,,A/R,I,,,Live,SE/ME,"Easter eggs, polite redirects",
Response Generation,Synonym Normalization,,,,,A/R,I,,,Live,SE/ME,100+ synonyms → canonical names,
Response Generation,Text Response Formatting,,,,,A/R,I,,,Live,SE/ME,"Value, unit, period, confidence",
Runner Dispatch,Content Push to DCL,,I,R,,I,A/R,,,Deprecated,SE/ME,"Old pipe-based content push (Structure/Dispatch/Content) is deprecated. SE active path: orchestrator calls Farm, pushes financial triples to DCL HTTP ingest. ME active path: Farm pushes to Convergence backend. DCL not involved in ME.",
Runner Dispatch,Manifest Dispatch to Farm,,A/R,,,I,R,,,Dormant,SE/ME,"Dormant in SYNTHETIC mode per AAM controls redesign. Code retained. Superseded by transport shims + flow controller in PRODUCTION_SE (Connectivity Architecture Blueprint WP-2, WP-8).",
Runner Dispatch,Runner Execution (Data Extraction),,I,,,I,A/R,,,Dormant,SE/ME,"In SE SYNTHETIC mode, Farm generates from YAML configs — no manifest-driven extraction. Code retained for PRODUCTION_SE where transport shims handle extraction (Blueprint WP-2).",
Runtime,Task Queue Management,,,,,,I,,A/R,Live,SE/ME,Moved from FARM (Ops) | AOA owns orchestration logic; Farm owns infra — see Scaling Infrastructure for Farm boundary,
